route_id,origin,destination,distance_nm,transit_days,transshipments,route_type,base_freight_usd
R491,Hamburg,New York,3500,10,1,Recommended,1400
R492,Singapore,Sydney,3400,9,0,Direct,1400
R493,New York,Rotterdam,3400,9,1,Recommended,1350
R494,Dubai,Sydney,6500,17,0,Direct,2300
R495,Shanghai,New York,8600,24,2,Alternative,2500
R496,Chennai,Los Angeles,8200,22,1,Standard,2100
R497,Rotterdam,Singapore,8200,22,1,Standard,2150
R498,Tokyo,Los Angeles,4800,11,0,Direct,1800
R499,Sydney,Rotterdam,11500,35,2,Alternative,2800
R500,Los Angeles,Shanghai,5700,14,0,Direct,1900
R501,Chennai,Rotterdam,8650,25,1,Recommended,1515
R502,Chennai,Rotterdam,9100,28,2,Alternative,1320
R503,Tokyo,Sydney,4860,13,0,Direct,1525
R504,Tokyo,Sydney,5200,16,1,Alternative,1315
R505,Tokyo,Los Angeles,4800,10,0,Direct,1810
R506,Sydney,Los Angeles,6500,19,0,Direct,2215
R507,Sydney,Rotterdam,11500,34,2,Alternative,2850
R508,Chennai,Los Angeles,8200,23,1,Standard,2125
R509,Chennai,Hamburg,8400,24,1,Standard,1640
R510,Rotterdam,Singapore,8200,23,1,Standard,2180
R511,Hamburg,New York,3500,10,0,Direct,1315
R512,Dubai,Shanghai,5100,15,1,Recommended,1740
R513,Singapore,Los Angeles,7600,18,0,Direct,2410
R514,New York,Rotterdam,3400,9,0,Direct,1275
R515,Shanghai,Sydney,4300,13,1,Recommended,1535
R516,Dubai,Rotterdam,6400,19,1,Standard,1915
R517,Chennai,Singapore,1600,5,0,Direct,815
R518,Hamburg,Tokyo,11200,30,2,Alternative,3150
R519,Los Angeles,Tokyo,4800,12,0,Direct,1775
R520,Sydney,Singapore,3400,10,0,Direct,1410
R521,Rotterdam,New York,3400,10,1,Recommended,1380
R522,Shanghai,Rotterdam,10500,28,2,Alternative,2920
R523,Dubai,Chennai,1500,5,0,Direct,875
R524,Singapore,Hamburg,8400,24,1,Standard,2130
R525,Tokyo,Rotterdam,11300,31,2,Alternative,3040
R526,Los Angeles,Sydney,6500,16,0,Direct,2125
R527,New York,Hamburg,3500,11,1,Recommended,1440
R528,Shanghai,Los Angeles,5700,13,0,Direct,1920
R529,Rotterdam,Chennai,8650,24,2,Standard,2230
R530,Singapore,Tokyo,2900,8,0,Direct,1120
R531,Dubai,Sydney,6500,16,0,Direct,2340
R532,Chennai,Dubai,1500,6,1,Recommended,975
R533,Hamburg,Singapore,8400,23,2,Standard,2220
R534,Los Angeles,Shanghai,5700,16,1,Recommended,2080
R535,Tokyo,Singapore,2900,9,1,Recommended,1180
R536,Sydney,Dubai,6500,19,1,Standard,2480
R537,New York,Dubai,6100,15,0,Direct,2215
R538,Shanghai,Hamburg,10800,31,2,Alternative,3080
R539,Rotterdam,Dubai,6400,20,2,Standard,2030
R540,Singapore,Chennai,1600,6,1,Recommended,925
R541,Dubai,New York,6100,18,1,Standard,2380
R542,Chennai,Tokyo,3500,8,0,Direct,1230
R543,Hamburg,Rotterdam,300,2,0,Direct,815
R544,Los Angeles,New York,4300,13,0,Direct,1525
R545,Tokyo,Dubai,4300,12,1,Recommended,1630
R546,Sydney,Chennai,4900,15,1,Recommended,1680
R547,New York,Los Angeles,4300,14,1,Standard,1580
R548,Shanghai,Singapore,2100,7,0,Direct,975
R549,Rotterdam,Hamburg,300,3,1,Alternative,880
R550,Singapore,Dubai,3200,8,0,Direct,1330
R551,Dubai,Tokyo,4300,11,0,Direct,1520
R552,Chennai,Sydney,4900,16,2,Alternative,1630
R553,Hamburg,Los Angeles,8200,21,1,Standard,2240
R554,Los Angeles,Hamburg,8200,24,2,Alternative,2180
R555,Tokyo,Chennai,3500,11,1,Recommended,1280
R556,Sydney,Shanghai,4300,12,1,Standard,1580
R557,New York,Singapore,8300,24,1,Standard,2340
R558,Shanghai,Dubai,3500,10,0,Direct,1425
R559,Rotterdam,Los Angeles,7800,20,1,Standard,2140
R560,Singapore,New York,8300,25,2,Alternative,2230
R561,Dubai,Singapore,3200,11,1,Recommended,1380
R562,Chennai,New York,7500,21,1,Standard,1980
R563,Hamburg,Shanghai,10800,29,1,Standard,3140
R564,Los Angeles,Rotterdam,7800,23,2,Alternative,2130
R565,Tokyo,New York,8500,22,1,Standard,2330
R566,Sydney,New York,8700,25,1,Standard,2440
R567,New York,Chennai,7500,22,2,Alternative,1930
R568,Shanghai,Tokyo,1100,4,0,Direct,720
R569,Rotterdam,Shanghai,10500,27,1,Standard,2980
R570,Singapore,Shanghai,2100,8,1,Recommended,1030
R571,Dubai,Los Angeles,8100,23,1,Standard,2230
R572,Chennai,Shanghai,2800,8,0,Direct,1080
R573,Hamburg,Dubai,4100,12,0,Direct,1480
R574,Los Angeles,Dubai,8100,24,2,Alternative,2180
R575,Tokyo,Shanghai,1100,5,1,Recommended,780
R576,Sydney,Hamburg,11400,33,2,Alternative,2930
R577,New York,Tokyo,8500,25,2,Alternative,2280
R578,Shanghai,Chennai,2800,9,1,Recommended,1130
R579,Rotterdam,Sydney,11500,32,1,Standard,2940
R580,Singapore,Rotterdam,8200,22,0,Direct,2230
R581,Dubai,Hamburg,4100,13,1,Recommended,1530
R582,Chennai,Rotterdam,8650,27,2,Alternative,1430
R583,Hamburg,Chennai,8400,23,0,Direct,1730
R584,Los Angeles,Singapore,7600,20,1,Standard,2340
R585,Tokyo,Hamburg,11200,31,1,Standard,2840
R586,Sydney,Tokyo,4860,15,1,Recommended,1480
R587,New York,Sydney,8700,26,2,Alternative,2380
R588,Shanghai,New York,8600,24,1,Standard,2440
R589,Rotterdam,Tokyo,11300,31,1,Standard,3140
R590,Singapore,Sydney,3400,11,1,Recommended,1480
R591,Dubai,Rotterdam,6400,18,0,Direct,1980
R592,Chennai,Singapore,1600,7,2,Alternative,880
R593,Hamburg,Rotterdam,300,3,1,Alternative,880
R594,Los Angeles,Chennai,8200,25,2,Alternative,2030
R595,Tokyo,Dubai,4300,15,2,Alternative,1580
R596,Sydney,Los Angeles,6500,20,1,Recommended,2180
R597,New York,Shanghai,8600,25,2,Alternative,2330
R598,Shanghai,Dubai,3500,11,1,Recommended,1480
R599,Rotterdam,Hamburg,300,2,0,Direct,830
R600,Singapore,Tokyo,2900,10,2,Alternative,1080
R601,Dubai,Sydney,6500,18,2,Alternative,2280
R602,Chennai,Los Angeles,8200,22,0,Direct,2240
R603,Hamburg,New York,3500,12,2,Alternative,1380
R604,Los Angeles,Shanghai,5700,17,2,Alternative,2030
R605,Tokyo,Sydney,4860,16,2,Alternative,1430
R606,Sydney,Rotterdam,11500,33,0,Direct,2980
R607,New York,Rotterdam,3400,11,2,Alternative,1230
R608,Shanghai,Singapore,2100,9,2,Alternative,930
R609,Rotterdam,Singapore,8200,25,2,Alternative,2080
R610,Singapore,Dubai,3200,12,2,Alternative,1280
R611,Dubai,Shanghai,5100,16,2,Alternative,1680
R612,Chennai,Hamburg,8400,26,2,Alternative,1580
R613,Hamburg,Tokyo,11200,33,3,Alternative,3030
R614,Los Angeles,Sydney,6500,19,1,Recommended,2080
R615,Tokyo,Los Angeles,4800,13,1,Recommended,1780
R616,Sydney,Shanghai,4300,15,2,Alternative,1530
R617,New York,Los Angeles,4300,15,2,Alternative,1530
R618,Shanghai,Sydney,4300,12,0,Direct,1630
R619,Rotterdam,Chennai,8650,24,0,Direct,2330
R620,Singapore,New York,8300,23,0,Direct,2430
R621,Dubai,Chennai,1500,7,2,Alternative,830
R622,Chennai,Sydney,4900,14,0,Direct,1780
R623,Hamburg,Singapore,8400,23,0,Direct,2330
R624,Los Angeles,Hamburg,8200,22,0,Direct,2380
R625,Tokyo,Rotterdam,11300,30,0,Direct,3230
R626,Chennai,New York,7500,19,0,Direct,2040
R627,Rotterdam,Dubai,6400,18,1,Recommended,1940
R628,Tokyo,Singapore,2900,7,0,Direct,1180
R629,Sydney,Shanghai,4300,13,1,Recommended,1530
R630,Los Angeles,Hamburg,8200,23,1,Standard,2230
R631,Hamburg,New York,3500,9,0,Direct,1340
R632,Singapore,Los Angeles,7600,20,0,Direct,2440
R633,New York,Rotterdam,3400,8,0,Direct,1280
R634,Dubai,Shanghai,5100,15,1,Recommended,1730
R635,Shanghai,Sydney,4300,13,1,Recommended,1530
R636,Chennai,Singapore,1600,5,0,Direct,830
R637,Rotterdam,Sydney,11500,32,0,Direct,3130
R638,Tokyo,Hamburg,11200,31,1,Standard,2830
R639,Sydney,Los Angeles,6500,19,0,Direct,2230
R640,Los Angeles,Tokyo,4800,12,0,Direct,1780
R641,Hamburg,Singapore,8400,24,1,Standard,2130
R642,Singapore,Hamburg,8400,24,1,Standard,2130
R643,New York,Hamburg,3500,11,1,Recommended,1430
R644,Dubai,Rotterdam,6400,19,1,Standard,1930
R645,Shanghai,Rotterdam,10500,30,2,Alternative,2930
R646,Chennai,Tokyo,3500,9,0,Direct,1230
R647,Rotterdam,New York,3400,10,1,Recommended,1380
R648,Tokyo,Sydney,4860,13,0,Direct,1530
R649,Sydney,Singapore,3400,10,0,Direct,1430
R650,Los Angeles,New York,4300,13,0,Direct,1530
R651,Hamburg,Rotterdam,300,2,0,Direct,830
R652,Singapore,Tokyo,2900,8,0,Direct,1130
R653,New York,Dubai,6100,17,0,Direct,2230
R654,Dubai,Chennai,1500,5,0,Direct,880
R655,Shanghai,Los Angeles,5700,15,0,Direct,1930
R656,Chennai,Dubai,1500,6,1,Recommended,980
R657,Rotterdam,Chennai,8650,26,2,Standard,2230
R658,Tokyo,Dubai,4300,14,1,Recommended,1630
R659,Sydney,Dubai,6500,18,0,Direct,2330
R660,Los Angeles,Shanghai,5700,16,1,Recommended,2080
R661,Hamburg,Dubai,4100,12,0,Direct,1480
R662,Singapore,Chennai,1600,6,1,Recommended,930
R663,New York,Los Angeles,4300,14,1,Standard,1580
R664,Dubai,New York,6100,18,1,Standard,2380
R665,Shanghai,Hamburg,10800,31,2,Alternative,3080
R666,Chennai,Sydney,4900,15,1,Recommended,1680
R667,Rotterdam,Hamburg,300,3,1,Alternative,880
R668,Tokyo,Chennai,3500,11,1,Recommended,1280
R669,Sydney,Chennai,4900,15,1,Recommended,1680
R670,Los Angeles,Hamburg,8200,24,2,Alternative,2180
R671,Hamburg,Los Angeles,8200,23,1,Standard,2230
R672,Singapore,Dubai,3200,10,0,Direct,1330
R673,New York,Singapore,8300,24,1,Standard,2330
R674,Dubai,Tokyo,4300,13,0,Direct,1530
R675,Shanghai,Dubai,3500,10,0,Direct,1430
R676,Chennai,New York,7500,21,1,Standard,1980
R677,Rotterdam,Los Angeles,7800,22,1,Standard,2130
R678,Tokyo,New York,8500,24,1,Standard,2330
R679,Sydney,New York,8700,25,1,Standard,2430
R680,Los Angeles,Rotterdam,7800,23,2,Alternative,2130
R681,Hamburg,Shanghai,10800,29,1,Standard,3130
R682,Singapore,New York,8300,25,2,Alternative,2230
R683,New York,Chennai,7500,22,2,Alternative,1930
R684,Dubai,Singapore,3200,11,1,Recommended,1380
R685,Shanghai,Tokyo,1100,4,0,Direct,730
R686,Chennai,Shanghai,2800,8,0,Direct,1080
R687,Rotterdam,Shanghai,10500,29,1,Standard,2980
R688,Tokyo,Shanghai,1100,5,1,Recommended,780
R689,Sydney,Hamburg,11400,35,2,Alternative,2930
R690,Los Angeles,Dubai,8100,24,2,Alternative,2180
R691,Hamburg,Dubai,4100,12,0,Direct,1480
R692,Singapore,Shanghai,2100,8,1,Recommended,1030
R693,New York,Tokyo,8500,25,2,Alternative,2280
R694,Dubai,Los Angeles,8100,23,1,Standard,2230
R695,Shanghai,Chennai,2800,9,1,Recommended,1130
R696,Chennai,Rotterdam,8650,27,2,Alternative,1430
R697,Rotterdam,Sydney,11500,34,1,Standard,2930
R698,Tokyo,Hamburg,11200,31,1,Standard,2830
R699,Sydney,Tokyo,4860,15,1,Recommended,1480
R700,Los Angeles,Singapore,7600,22,1,Standard,2330
R701,Hamburg,Chennai,8400,23,0,Direct,1730
R702,Singapore,Rotterdam,8200,22,0,Direct,2230
R703,New York,Sydney,8700,26,2,Alternative,2380
R704,Dubai,Hamburg,4100,13,1,Recommended,1530
R705,Shanghai,New York,8600,24,1,Standard,2430
R706,Chennai,Singapore,1600,7,2,Alternative,880
R707,Rotterdam,Tokyo,11300,31,1,Standard,3130
R708,Tokyo,Dubai,4300,15,2,Alternative,1580
R709,Sydney,Los Angeles,6500,20,1,Recommended,2180
R710,Los Angeles,Chennai,8200,25,2,Alternative,2030
R711,Hamburg,Rotterdam,300,3,1,Alternative,880
R712,Singapore,Sydney,3400,11,1,Recommended,1480
R713,New York,Shanghai,8600,25,2,Alternative,2330
R714,Dubai,Rotterdam,6400,18,0,Direct,1980
R715,Shanghai,Dubai,3500,11,1,Recommended,1480
R716,Chennai,Los Angeles,8200,22,0,Direct,2230
R717,Rotterdam,Hamburg,300,2,0,Direct,830
R718,Tokyo,Sydney,4860,16,2,Alternative,1430
R719,Sydney,Rotterdam,11500,33,0,Direct,2980
R720,Los Angeles,Shanghai,5700,17,2,Alternative,2030
R721,Hamburg,New York,3500,12,2,Alternative,1380
R722,Singapore,Tokyo,2900,10,2,Alternative,1080
R723,New York,Rotterdam,3400,11,2,Alternative,1230
R724,Dubai,Sydney,6500,20,2,Alternative,2280
R725,Shanghai,Singapore,2100,9,2,Alternative,930
R726,Chennai,Hamburg,8400,26,2,Alternative,1580
R727,Rotterdam,Singapore,8200,25,2,Alternative,2080
R728,Tokyo,Los Angeles,4800,13,1,Recommended,1780
R729,Sydney,Shanghai,4300,15,2,Alternative,1530
R730,Los Angeles,Sydney,6500,19,1,Recommended,2080
R731,Hamburg,Tokyo,11200,33,3,Alternative,3030
R732,Singapore,Dubai,3200,12,2,Alternative,1280
R733,New York,Los Angeles,4300,15,2,Alternative,1530
R734,Dubai,Shanghai,5100,16,2,Alternative,1680
R735,Shanghai,Sydney,4300,12,0,Direct,1630
R736,Chennai,Sydney,4900,14,0,Direct,1780
R737,Rotterdam,Chennai,8650,24,0,Direct,2330
R738,Tokyo,Rotterdam,11300,30,0,Direct,3230
R739,Sydney,New York,8700,23,0,Direct,2530
R740,Los Angeles,Hamburg,8200,22,0,Direct,2380
R741,Hamburg,Singapore,8400,23,0,Direct,2330
R742,Singapore,New York,8300,23,0,Direct,2430
R743,New York,Chennai,7500,20,0,Direct,2130
R744,Dubai,Chennai,1500,7,2,Alternative,830
R745,Shanghai,Rotterdam,10500,28,0,Direct,3030
R746,Chennai,Rotterdam,8650,23,0,Direct,2330
R747,Rotterdam,Tokyo,11300,34,3,Alternative,3330
R748,Tokyo,Singapore,2900,9,1,Recommended,1180
R749,Sydney,Dubai,6500,19,1,Standard,2480
R750,Los Angeles,New York,4300,15,2,Alternative,1630
R751,Hamburg,Dubai,4100,13,1,Recommended,1545
R752,Singapore,Hamburg,8400,25,2,Standard,2245
R753,New York,Los Angeles,4300,13,0,Direct,1545
R754,Dubai,New York,6100,17,0,Direct,2245
R755,Shanghai,Los Angeles,5700,16,1,Recommended,2095
R756,Chennai,Tokyo,3500,11,1,Recommended,1295
R757,Rotterdam,Sydney,11500,35,2,Alternative,3045
R758,Tokyo,Dubai,4300,13,0,Direct,1545
R759,Sydney,Shanghai,4300,14,1,Standard,1595
R760,Los Angeles,Tokyo,4800,14,2,Alternative,1895
R761,Hamburg,Shanghai,10800,31,2,Alternative,3245
R762,Singapore,Chennai,1600,7,2,Alternative,995
R763,New York,Dubai,6100,19,2,Alternative,2495
R764,Dubai,Rotterdam,6400,20,2,Standard,2045
R765,Shanghai,Hamburg,10800,29,1,Standard,3145
R766,Chennai,New York,7500,22,2,Alternative,2095
R767,Rotterdam,Los Angeles,7800,23,2,Alternative,2245
R768,Tokyo,New York,8500,25,2,Alternative,2445
R769,Sydney,Chennai,4900,16,2,Alternative,1795
R770,Los Angeles,Rotterdam,7800,22,1,Standard,2145
R771,Hamburg,Los Angeles,8200,24,2,Alternative,2345
R772,Singapore,New York,8300,24,1,Standard,2345
R773,New York,Singapore,8300,25,2,Alternative,2445
R774,Dubai,Singapore,3200,10,0,Direct,1345
R775,Shanghai,Dubai,3500,11,1,Recommended,1495
R776,Chennai,Dubai,1500,5,0,Direct,895
R777,Rotterdam,Hamburg,300,3,1,Alternative,895
R778,Tokyo,Shanghai,1100,4,0,Direct,745
R779,Sydney,New York,8700,26,2,Alternative,2645
R780,Los Angeles,Dubai,8100,23,1,Standard,2245
R781,Hamburg,Rotterdam,300,2,0,Direct,845
R782,Singapore,Shanghai,2100,7,0,Direct,995
R783,New York,Tokyo,8500,24,1,Standard,2345
R784,Dubai,Los Angeles,8100,24,2,Alternative,2345
R785,Shanghai,Tokyo,1100,5,1,Recommended,795
R786,Chennai,Shanghai,2800,9,1,Recommended,1145
R787,Rotterdam,New York,3400,9,0,Direct,1295
R788,Tokyo,Sydney,4860,15,1,Recommended,1495
R789,Sydney,Hamburg,11400,33,1,Standard,2845
R790,Los Angeles,Singapore,7600,20,0,Direct,2445
R791,Hamburg,Dubai,4100,14,2,Alternative,1645
R792,Singapore,Rotterdam,8200,24,2,Standard,2345
R793,New York,Sydney,8700,25,1,Standard,2445
R794,Dubai,Tokyo,4300,14,1,Recommended,1645
R795,Shanghai,Chennai,2800,8,0,Direct,1095
R796,Chennai,Rotterdam,8650,25,1,Recommended,1545
R797,Rotterdam,Tokyo,11300,32,2,Alternative,3245
R798,Tokyo,Hamburg,11200,33,3,Alternative,3045
R799,Sydney,Los Angeles,6500,18,0,Direct,2145
R800,Los Angeles,Chennai,8200,24,1,Standard,2145
R801,Hamburg,New York,3500,11,1,Recommended,1445
R802,Singapore,Sydney,3400,10,0,Direct,1445
R803,New York,Rotterdam,3400,10,1,Recommended,1395
R804,Dubai,Sydney,6500,18,0,Direct,2345
R805,Shanghai,New York,8600,25,2,Alternative,2545
R806,Chennai,Los Angeles,8200,23,1,Standard,2145
R807,Rotterdam,Singapore,8200,23,1,Standard,2195
R808,Tokyo,Los Angeles,4800,12,0,Direct,1845
R809,Sydney,Rotterdam,11500,36,2,Alternative,2845
R810,Los Angeles,Shanghai,5700,15,0,Direct,1945
R811,Hamburg,Tokyo,11200,31,1,Standard,2845
R812,Singapore,Tokyo,2900,8,0,Direct,1145
R813,New York,Shanghai,8600,24,1,Standard,2445
R814,Dubai,Rotterdam,6400,19,1,Standard,1945
R815,Shanghai,Singapore,2100,8,1,Recommended,1045
R816,Chennai,Hamburg,8400,24,1,Standard,1645
R817,Rotterdam,Dubai,6400,18,0,Direct,1995
R818,Tokyo,Chennai,3500,10,0,Direct,1245
R819,Sydney,Tokyo,4860,13,0,Direct,1545
R820,Los Angeles,Sydney,6500,19,1,Recommended,2095
R821,Hamburg,Chennai,8400,23,0,Direct,1745
R822,Singapore,Dubai,3200,11,1,Recommended,1395
R823,New York,Chennai,7500,21,1,Standard,1995
R824,Dubai,Shanghai,5100,15,1,Recommended,1745
R825,Shanghai,Sydney,4300,13,1,Recommended,1545
R826,Chennai,Singapore,1600,6,1,Recommended,945
R827,Rotterdam,Shanghai,10500,30,2,Alternative,2945
R828,Tokyo,Rotterdam,11300,31,1,Standard,3145
R829,Sydney,Singapore,3400,11,1,Recommended,1495
R830,Los Angeles,Hamburg,8200,23,1,Standard,2245
R831,Hamburg,Singapore,8400,24,1,Standard,2145
R832,Singapore,Los Angeles,7600,22,1,Standard,2345
R833,New York,Hamburg,3500,10,0,Direct,1345
R834,Dubai,Hamburg,4100,12,0,Direct,1495
R835,Shanghai,Rotterdam,10500,29,1,Standard,2995
R836,Chennai,Sydney,4900,15,1,Recommended,1695
R837,Rotterdam,Chennai,8650,26,2,Standard,2245
R838,Tokyo,Singapore,2900,9,1,Recommended,1195
R839,Sydney,Los Angeles,6500,19,0,Direct,2245
R840,Los Angeles,Tokyo,4800,12,0,Direct,1795
R841,Hamburg,Los Angeles,8200,23,1,Standard,2245
R842,Singapore,Hamburg,8400,25,1,Standard,2145
R843,New York,Los Angeles,4300,14,1,Standard,1595
R844,Dubai,New York,6100,18,1,Standard,2395
R845,Shanghai,Los Angeles,5700,15,0,Direct,1945
R846,Chennai,Dubai,1500,6,1,Recommended,995
R847,Rotterdam,Sydney,11500,32,0,Direct,3145
R848,Tokyo,Dubai,4300,14,1,Recommended,1645
R849,Sydney,Dubai,6500,18,0,Direct,2345
R850,Los Angeles,Shanghai,5700,16,1,Recommended,2095
R851,Hamburg,Dubai,4100,12,0,Direct,1495
R852,Singapore,Chennai,1600,5,0,Direct,845
R853,New York,Dubai,6100,17,0,Direct,2245
R854,Dubai,Chennai,1500,5,0,Direct,895
R855,Shanghai,Hamburg,10800,31,2,Alternative,3095
R856,Chennai,Tokyo,3500,10,0,Direct,1245
R857,Rotterdam,New York,3400,10,1,Recommended,1395
R858,Tokyo,Sydney,4860,13,0,Direct,1545
R859,Sydney,Chennai,4900,15,1,Recommended,1695
R860,Los Angeles,Hamburg,8200,24,2,Alternative,2195
R861,Hamburg,Rotterdam,300,2,0,Direct,845
R862,Singapore,Tokyo,2900,8,0,Direct,1145
R863,New York,Singapore,8300,24,1,Standard,2345
R864,Dubai,Tokyo,4300,13,0,Direct,1545
R865,Shanghai,Dubai,3500,10,0,Direct,1445
R866,Chennai,New York,7500,21,1,Standard,1995
R867,Rotterdam,Los Angeles,7800,22,1,Standard,2145
R868,Tokyo,New York,8500,24,1,Standard,2345
R869,Sydney,New York,8700,25,1,Standard,2445
R870,Los Angeles,Rotterdam,7800,23,2,Alternative,2145
R871,Hamburg,Shanghai,10800,29,1,Standard,3145
R872,Singapore,New York,8300,25,2,Alternative,2245
R873,New York,Chennai,7500,22,2,Alternative,1945
R874,Dubai,Singapore,3200,11,1,Recommended,1395
R875,Shanghai,Tokyo,1100,4,0,Direct,745
R876,Chennai,Shanghai,2800,8,0,Direct,1095
R877,Rotterdam,Shanghai,10500,29,1,Standard,2995
R878,Tokyo,Shanghai,1100,5,1,Recommended,795
R879,Sydney,Hamburg,11400,35,2,Alternative,2945
R880,Los Angeles,Dubai,8100,24,2,Alternative,2195
R881,Hamburg,Dubai,4100,12,0,Direct,1495
R882,Singapore,Shanghai,2100,8,1,Recommended,1045
R883,New York,Tokyo,8500,25,2,Alternative,2295
R884,Dubai,Los Angeles,8100,23,1,Standard,2245
R885,Shanghai,Chennai,2800,9,1,Recommended,1145
R886,Chennai,Rotterdam,8650,27,2,Alternative,1445
R887,Rotterdam,Sydney,11500,34,1,Standard,2945
R888,Tokyo,Hamburg,11200,31,1,Standard,2845
R889,Sydney,Tokyo,4860,15,1,Recommended,1495
R890,Los Angeles,Singapore,7600,22,1,Standard,2345
R891,Hamburg,Chennai,8400,23,0,Direct,1745
R892,Singapore,Rotterdam,8200,22,0,Direct,2245
R893,New York,Sydney,8700,26,2,Alternative,2395
R894,Dubai,Hamburg,4100,13,1,Recommended,1545
R895,Shanghai,New York,8600,24,1,Standard,2445
R896,Chennai,Singapore,1600,7,2,Alternative,895
R897,Rotterdam,Tokyo,11300,31,1,Standard,3145
R898,Tokyo,Dubai,4300,15,2,Alternative,1595
R899,Sydney,Los Angeles,6500,20,1,Recommended,2195
R900,Los Angeles,Chennai,8200,25,2,Alternative,2045
R901,Hamburg,Rotterdam,300,3,1,Alternative,895
R902,Singapore,Sydney,3400,11,1,Recommended,1495
R903,New York,Shanghai,8600,25,2,Alternative,2345
R904,Dubai,Rotterdam,6400,18,0,Direct,1995
R905,Shanghai,Dubai,3500,11,1,Recommended,1495
R906,Chennai,Los Angeles,8200,22,0,Direct,2245
R907,Rotterdam,Hamburg,300,2,0,Direct,845
R908,Tokyo,Sydney,4860,16,2,Alternative,1445
R909,Sydney,Rotterdam,11500,33,0,Direct,2995
R910,Los Angeles,Shanghai,5700,17,2,Alternative,2045
R911,Hamburg,New York,3500,12,2,Alternative,1395
R912,Singapore,Tokyo,2900,10,2,Alternative,1095
R913,New York,Rotterdam,3400,11,2,Alternative,1245
R914,Dubai,Sydney,6500,20,2,Alternative,2295
R915,Shanghai,Singapore,2100,9,2,Alternative,945
R916,Chennai,Hamburg,8400,26,2,Alternative,1595
R917,Rotterdam,Singapore,8200,25,2,Alternative,2095
R918,Tokyo,Los Angeles,4800,13,1,Recommended,1795
R919,Sydney,Shanghai,4300,15,2,Alternative,1545
R920,Los Angeles,Sydney,6500,19,1,Recommended,2095
R921,Hamburg,Tokyo,11200,33,3,Alternative,3045
R922,Singapore,Dubai,3200,12,2,Alternative,1295
R923,New York,Los Angeles,4300,15,2,Alternative,1545
R924,Dubai,Shanghai,5100,16,2,Alternative,1695
R925,Shanghai,Sydney,4300,12,0,Direct,1645
R926,Chennai,Sydney,4900,14,0,Direct,1795
R927,Rotterdam,Chennai,8650,24,0,Direct,2345
R928,Tokyo,Rotterdam,11300,30,0,Direct,3245
R929,Sydney,New York,8700,23,0,Direct,2545
R930,Los Angeles,Hamburg,8200,22,0,Direct,2395
R931,Hamburg,Singapore,8400,23,0,Direct,2345
R932,Singapore,New York,8300,23,0,Direct,2445
R933,New York,Chennai,7500,20,0,Direct,2145
R934,Dubai,Chennai,1500,7,2,Alternative,845
R935,Shanghai,Rotterdam,10500,28,0,Direct,3045
R936,Chennai,Rotterdam,8650,23,0,Direct,2345
R937,Rotterdam,Tokyo,11300,34,3,Alternative,3345
R938,Tokyo,Singapore,2900,9,1,Recommended,1195
R939,Sydney,Dubai,6500,19,1,Standard,2495
R940,Los Angeles,New York,4300,15,2,Alternative,1645
R941,Hamburg,Dubai,4100,13,1,Recommended,1545
R942,Singapore,Hamburg,8400,25,2,Standard,2245
R943,New York,Los Angeles,4300,13,0,Direct,1545
R944,Dubai,New York,6100,17,0,Direct,2245
R945,Shanghai,Los Angeles,5700,16,1,Recommended,2095
R946,Chennai,Tokyo,3500,11,1,Recommended,1295
R947,Rotterdam,Sydney,11500,35,2,Alternative,3045
R948,Tokyo,Dubai,4300,13,0,Direct,1545
R949,Sydney,Shanghai,4300,14,1,Standard,1595
R950,Los Angeles,Tokyo,4800,14,2,Alternative,1895
R951,Hamburg,Shanghai,10800,31,2,Alternative,3245
R952,Singapore,Chennai,1600,7,2,Alternative,995
R953,New York,Dubai,6100,19,2,Alternative,2495
R954,Dubai,Rotterdam,6400,20,2,Standard,2045
R955,Shanghai,Hamburg,10800,29,1,Standard,3145
R956,Chennai,New York,7500,22,2,Alternative,2095
R957,Rotterdam,Los Angeles,7800,23,2,Alternative,2245
R958,Tokyo,New York,8500,25,2,Alternative,2445
R959,Sydney,Chennai,4900,16,2,Alternative,1795
R960,Los Angeles,Rotterdam,7800,22,1,Standard,2145
R961,Hamburg,Los Angeles,8200,24,2,Alternative,2345
R962,Singapore,New York,8300,24,1,Standard,2345
R963,New York,Singapore,8300,25,2,Alternative,2445
R964,Dubai,Singapore,3200,10,0,Direct,1345
R965,Shanghai,Dubai,3500,11,1,Recommended,1495
R966,Chennai,Dubai,1500,5,0,Direct,895
R967,Rotterdam,Hamburg,300,3,1,Alternative,895
R968,Tokyo,Shanghai,1100,4,0,Direct,745
R969,Sydney,New York,8700,26,2,Alternative,2645
R970,Los Angeles,Dubai,8100,23,1,Standard,2245
R971,Hamburg,Rotterdam,300,2,0,Direct,845
R972,Singapore,Shanghai,2100,7,0,Direct,995
R973,New York,Tokyo,8500,24,1,Standard,2345
R974,Dubai,Los Angeles,8100,24,2,Alternative,2345
R975,Shanghai,Tokyo,1100,5,1,Recommended,795
R976,Chennai,Shanghai,2800,9,1,Recommended,1145
R977,Rotterdam,New York,3400,9,0,Direct,1295
R978,Tokyo,Sydney,4860,15,1,Recommended,1495
R979,Sydney,Hamburg,11400,33,1,Standard,2845
R980,Los Angeles,Singapore,7600,20,0,Direct,2445
R981,Hamburg,Dubai,4100,14,2,Alternative,1645
R982,Singapore,Rotterdam,8200,24,2,Standard,2345
